ItemName;Ingredients;Allergens;LocalIngredients;Diet;nutritionLabel;LeaveEmpty
Cobb Salad; Egg / Guacamole / Bacon / Cheddar / Tomato / Cucumber / Romaine / Ranch Dressing;Milk, eggs.;Fresh Start Cucumber, Fresh Start Tomato, Fresh Start Romaine;BC;needed;
Caesar Salad;Crispy Chicken / Bacon / Romaine / Parmesan / Caesar Dressing;Milk, eggs, fish.;Fresh Start Romaine, Castle Cheese Parmesan;BC;needed;
House Salad;Carrots / Tomato / Cucumber / Romaine / Balsamic Dressing;Dressing contains sulphites.;Fresh Start Cucumber, Fresh Start Tomato, Fresh Start Romaine;BC, VEG, VGN, GF DF;needed;
